Section,Filter / Category,Recipe Name,Region / Cuisine,Key Ingredients,Launch Notes,Suggested Tags
Meal Moment,Early Morning Drink,Masala Chai,Indian,"black tea, milk, ginger, cardamom",Good for daily habit content,"hot drink, morning"
Meal Moment,Early Morning Drink,Turkish Coffee,Turkish,"finely ground coffee, sugar",Good for daily habit content,"hot drink, morning"
Meal Moment,Early Morning Drink,Matcha Latte,Japanese,"matcha, milk",Good for daily habit content,"hot drink, morning"
Meal Moment,Early Morning Drink,Golden Turmeric Milk,Indian,"milk, turmeric, honey",Good for daily habit content,"hot drink, morning"
Meal Moment,Early Morning Drink,Fresh Ginger Lemon Tea,Global,"ginger, lemon, honey",Good for daily habit content,"hot drink, morning"
Meal Moment,Breakfast,Full English Breakfast,British,"eggs, beans, sausage, toast",High-search morning recipes,breakfast
Meal Moment,Breakfast,Pancakes with Maple Syrup,American,"flour, eggs, milk, maple syrup",High-search morning recipes,breakfast
Meal Moment,Breakfast,Masala Dosa,South Indian,"rice batter, potato masala",High-search morning recipes,breakfast
Meal Moment,Breakfast,Shakshuka,Middle Eastern,"eggs, tomato, peppers",High-search morning recipes,breakfast
Meal Moment,Breakfast,Avocado Toast,Modern Global,"bread, avocado, egg",High-search morning recipes,breakfast
Meal Moment,Brunch,Eggs Benedict,American,"eggs, hollandaise, muffin",Late morning weekend food,brunch
Meal Moment,Brunch,French Toast,French/American,"bread, eggs, milk, cinnamon",Late morning weekend food,brunch
Meal Moment,Brunch,Aloo Paratha with Yogurt,Indian,"wheat, potato, spices",Late morning weekend food,brunch
Meal Moment,Brunch,Smoked Salmon Bagel,New York,"bagel, salmon, cream cheese",Late morning weekend food,brunch
Meal Moment,Brunch,Menemen,Turkish,"eggs, tomato, peppers",Late morning weekend food,brunch
Meal Moment,Mid-Morning Snack,Fruit Chaat,Indian,"mixed fruit, chaat masala",Light bites before lunch,snack
Meal Moment,Mid-Morning Snack,Granola Yogurt Bowl,Global,"yogurt, granola, berries",Light bites before lunch,snack
Meal Moment,Mid-Morning Snack,Energy Balls,Global,"dates, oats, nuts",Light bites before lunch,snack
Meal Moment,Mid-Morning Snack,Cucumber Sandwiches,British,"bread, cucumber, butter",Light bites before lunch,snack
Meal Moment,Mid-Morning Snack,Banana Peanut Butter Toast,American,"banana, peanut butter, toast",Light bites before lunch,snack
Meal Moment,Lunch,Chicken Caesar Salad,American,"chicken, romaine, parmesan",Strong mainstream lunch ideas,lunch
Meal Moment,Lunch,Rajma Chawal,North Indian,"kidney beans, rice",Strong mainstream lunch ideas,lunch
Meal Moment,Lunch,Margherita Pizza,Italian,"tomato, mozzarella, basil",Strong mainstream lunch ideas,lunch
Meal Moment,Lunch,Bibimbap,Korean,"rice, vegetables, egg",Strong mainstream lunch ideas,lunch
Meal Moment,Lunch,Falafel Wrap,Middle Eastern,"falafel, pita, tahini",Strong mainstream lunch ideas,lunch
Meal Moment,Afternoon Drink,Iced Coffee,Global,"coffee, milk, ice",Good short-form drink recipes,"cold drink, afternoon"
Meal Moment,Afternoon Drink,Mango Lassi,Indian,"mango, yogurt",Good short-form drink recipes,"cold drink, afternoon"
Meal Moment,Afternoon Drink,Thai Iced Tea,Thai,"black tea, condensed milk",Good short-form drink recipes,"cold drink, afternoon"
Meal Moment,Afternoon Drink,Strawberry Smoothie,Global,"strawberry, yogurt, banana",Good short-form drink recipes,"cold drink, afternoon"
Meal Moment,Afternoon Drink,Mint Lemonade,Middle Eastern,"mint, lemon, sugar",Good short-form drink recipes,"cold drink, afternoon"
Meal Moment,Afternoon Snack,Samosa,Indian,"potato, pastry, spices",Snackable and shareable,snack
Meal Moment,Afternoon Snack,Bruschetta,Italian,"bread, tomato, basil",Snackable and shareable,snack
Meal Moment,Afternoon Snack,Cheese Quesadilla,Mexican,"tortilla, cheese",Snackable and shareable,snack
Meal Moment,Afternoon Snack,Onigiri,Japanese,"rice, seaweed, filling",Snackable and shareable,snack
Meal Moment,Afternoon Snack,Hummus with Pita,Middle Eastern,"chickpeas, tahini, pita",Snackable and shareable,snack
